회사명,면접질문,면접답변 혹은 면접느낌,subjects
(주)신한디에스,['가장 큰 프로젝트 중심으로 해당프로젝트에서 어떠한 역할을 했는지 물어봄'],"질문의 난위도가 어렵지않았고 임원면접의 경우 압박면접의 느낌이 있음 채용방식 인/적성검사, 그룹면접, 개인면접",{}
(주)신한디에스,['지금까지 했던 업무중 제일 힘들었던 업무가 무엇인가? 상세하게 말하시오'],"1차 면접은 실무자 인터뷰로 내가 이력서에 있는 내용을 확실히 숙지하고 진행해야함 채용방식 인/적성검사, 그룹면접, 토론면접, 기타",{}
(주)신한디에스,"['1 자기의 장단점을 말해보세요.', '2. 왜 우리회사에 지원하게 되었는지?', '3. 이전 회사에서 퇴직한 사유가 무엇인지']","장단점 부분은 단점인듯 단점같지 않은 내용으로 답하였고, 이전 회사에서 퇴직한 이유는 해당기업의 불확실성(경제적)이라고 답하고 지원한 이유도 연계해서 답 변하였습니다. 면접 분위기는 상당히 딱딱했습니다. 채용방식 인/적성검사, 그룹면접",{}
(주)신한디에스,"['1차때 pt면접 토론면접 심층면접으로 꽤 오랜시간 진행했고', '2차 임원면접은 30분정도 걸렸던것 같습니다.', '1차때 금융 신기술 동향과 관련한 주제로 pt 진행했습니다.']","다른 회사 면접 경험이 많다면 크게 어려운 면접은 아니었던것 같습니다. 임원면접의 경우 개인 정보관련 해서 질문을 많이받았습다 채용방식 필기시험, 인/적성검사, PT면접, 그룹면접, 토론면접",{}
(주)신한디에스,"['스트레스를 어떻게 해소하는지? 프로젝트에 대한 질문, 부당한 지시를 한다면 어떻게 할지?']","주로 운동을 하며 스트레스를 해소. 학부때 진행한 프로젝트 설명함. 불법적인 요소가 있다면 그것에 대해 양해를 구하고, 아니면 그냥 따르겠다 채용방식 필기시험, 인/적성검사, 케이스 면접, PT면접, 그룹면접, 토론면접, 워크숍",{}
(주)신한디에스,"['스프링 써봤냐. 장점은 머냐 등등.', '기존 회사 업무에 관한거와 커뮤케이션에 관한 질문등등', '어려운건 없어요.']","스프링은 지원해주는게 많아서 좋다. 일반적인 답변만 했어요 면접은 편한 분위기 였고, 대기 시간이 조 금 있다는거 말고는 무난 해요 ""여러명이 들어가서 면접봄. 전형적인 다대다 면접. 정해진 시간에 오라고 해서 봅니다. 특색은 없고. 일반적임"" 합격 긍정적 도움이 돼요 0",{}
(주)신한디에스,['업무적인거 몇가지랑 야근을 해야 하는대 괜찮겠냐고 물어봤던거 같습니다'],"면접은 그럭저럭 봤지만.. 임원 면접때 들어어셨던 분이 참… 아이티를 모르면서 아는 척을 많이 했던거 같네요 채용방식 인/적성검사, 개인면접, 기타",{}
(주)신한디에스,"['1. 이전회사 경력', '2. 이직사유', '3. 비전']","경력이 가장 중요함 채용방식 인/적성검사, 그룹면접, 개인면접",{}
(주)신한디에스,"['경력관련', '직무관련', '회사에 업무에 대해 얼만큼 관심있는지 알아보는 듯 했음']","무난한 면접이니만큼 남들보다 얼만큼 더 회사에 관심있고 열심히 할수있는지 어필해야할듯 채용방식 필기시험, 인/적성검사, 그룹면접, 개인면접",{}
(주)신한디에스,"['지원동기, 프로젝트 상세 설명, 자기소개']","생각보다 답변하기 쉬운 질문들이 많아서 다행이었습니ㅏㄷ. ""친절하게 잘 대해주시고 긴장도 잘 풀어주셨습니다."" 대기중 긍정적 도움이 돼요 2",{}
(주)신한디에스,"['경력에 대한 질문, 기본적인 기술력 질문, 평소 생활을 물어봄']","기술진/경영진 면접 모두에서 태도 위주로 보는듯, 기술면접에서도 기술적인 질문이 많지 않았음",{}
(주)신한디에스,['회사와 가까운 곳에 사는지 회사와 얼마나 걸리는지 경력중 경험사항에 대해 물어봤습니다.'],"특별히없고 면접에서 오래다닐 직원을 뽑는 구나 했습니다 채용방식 인/적성검사, 그룹면접",{}
(주)신한디에스,"['1.수직적문화에대해 어떻게 생각하는지에 대해서', '2.을에 입장에서 일하는것을 어떻게 생각하는지']","1. 수직적문화의 장단점과 수평적문화의 장단점을 분석한뒤 신한디에스에 적합한 문화를 설명 2. 고객에게 상품을 판매하는 일은 언제나 을에 입장에 설 수 밖에 없음을 어필하고 어느 회사나 같을 것이라 설명 채용방식 인/적성검사, 그룹면접, 토론면접, 개인면접",{}
(주)신한디에스,"['스트레스 해소법', '입사 후 해보고 싶은 일', '워라벨에 대한 의견']","다른 여타의 금융계열사의 면접과 유사함 ""서류전형 코테 인적성 토론면접 실무면접 신체검사 임원면접"" 합격 보통 도움이 돼요 2",{}
(주)신한디에스,"['1. 회사 지원한 이유는?', '2. 어느 분야에서 일하고 싶은가']","난이도가 중간으로 어렵지 않았다. 무난한 질문이 대부분이었다. 채용방식 스킬테스트 ""코딩테스트 시험이 존재했으며 면접도 진행하여 최종입사함"" 대기중 보통 도움이 돼요 0",{}
(주)신한디에스,"['1. 어떤 직무 관련 경험이 있는지', '2. 죽전에 와본적 있는지', '3. 면접본 업무말고 다른 업무도 할 수 있는지']","같이 면접들어가는 사람들의 역량이 중요함. 에이스들과 들어가서 힘들었음. 채용방식 필기시험, 인/적성검사, 그룹면접, 토론면접, 개인면접",{}
(주)신한디에스,"['이직사유, 신한 DS 지원 사유, 코테 점수가 낮은 이유, SI에 관심있어 보이는 데 SM 업무를 지원한 이유', '는?']","뻔한거 물어봤음, 근데 뻔한 만큼 면접관들에게 어필하기 힘들 수 도 채용방식 인/적성검사, 스킬테스트",{}
(주)신한디에스,"['과거경력중 어필할수있는 경험이 뭐였는지 물어보며', '문제해결능력 및 적극성등을 보는듯했음']",과거 경험을 조리있게 말하면서 하지않은 내용을 꾸며내지않는다뎐 좋은결과가 따라올거같다 채용방식 개인면접,{}
(주)신한디에스,"['현재의 기술스텍과 현재 가장 떠오르는 기술이슈 질문, 그 이슈에 대한 자신의 생각', '채용방식', '필기시험, 케이스 면접', '발표시기', '3일 후', '""적당히 수준있는 질문으로 괜찮았습니다.""', '합격', '보통', '도움이 돼요 1']",,{}
(주)신한디에스,"['간단한 자기소개와 그동안 수행했던 프로젝트 설명', '지원동기와 입사후 포부등', '채용방식', '개인면접', '발표시기', '16일 후', '""편안한 분위기에서 진행', '1차 실무면접 2차 임원면접으로 진행""', '합격', '보통', '도움이 돼요 0']",,{}
(주)신한디에스,['한 기술을 설명하고 먼저 하고싶은 사람 먼저 설명하라고 하심'],"말하는 스킬과 설명 앞뒤의 정합성을 중요하게 보심 모르는건 모른다고 하는게 차라리 맞음 채용방식 인/적성검사, 케이스 면접",{}
(주)신한디에스,['지원동기는? 누가뽑힐것 같은지? 잘할수있는 이유는?'],"무난한 면접이었고 경력직이다보니 경럭우선이고 답변잘하면 무난함 채용방식 인/적성검사, 그룹면접",{}
(주)신한디에스,"['퇴사사유', '지원한 이유는 무엇인가요', '당신의 강점은 무엇인가요']","압박질문하는 뷴 웃기만하는 분 등 역할이 나눠져 있는 느낌이나 대체로 편안하게 진행할수있게해줌 채용방식 인/적성검사, 그룹면접, 토론면접, 워크숍, 산행, 체육대회",{}
(주)신한디에스,"['1. 야근을 할 수 있나', '2. 원하지 않는 업무라도 할 수 있나', '3. 이직 사유는']","면접은 이상한 사람을 거르고 서류에서 거의 결정 나는 듯 함 채용방식 인/적성검사, 그룹면접",{}
(주)신한디에스,"['이직 사유, 자기소개, 향후 포부, 난감한 상황에서의 문제해결 능력']","어렵지 않았음 채용방식 필기시험, 케이스 면접, 워크숍",{}
(주)신한디에스,['이직사유 와 금융권프로젝트 경험이 있어 관련된 질문을 주로하였음'],면접조 운이 좋아야할듯,{}
(주)신한디에스,['만약 시간이 오래걸리고 야근을 오래 해야하는 상황이 생긴다면'],"이전 회사에서의 업무 위주로 설명해야하다보니 딱히 어려움은 없었음 채용방식 인/적성검사, 개인면접, 기타",{}
(주)신한디에스,['자격증이 하나도 없는데 학교때 무엇을 하고 준비했는지'],자격증말고 학점과 연구발표에 집중,{}
(주)신한디에스,"['지원한 분야에 대한 질문 (어떤 직종인지)', '출퇴근 거리', '향후 회사에서 이루고 싶은것들', '채용방식', '그룹면접', '발표시기', '14일 후', '""1차 실무자 면접', '업무와 기술위주의 면접이었음', '업무에 대한 이해도와 회사에 대한 질문""', '합격', '보통', '도움이 돼요 0']",,{}
(주)신한디에스,['전반적으로 무난한 질문이며 가장 힘들었던 업무와 어떻게 극복했는지 질문 함'],"가장 힘든 것은 납기준수 때문에 시간의 촉박했으나 핵심적인 것 먼저 수행하여 나머지를 처리했다고 함 채용방식 인/적성검사, 그룹면접",{}
(주)신한디에스,"['경력직이라 그런지 과제는 없었고 했었던 업무 위주로 물어보심. 입사시 직무가 변경되어도 수용가능', '한지 물어보심']",전반적으로 편안한 분위기였음 채용방식 개인면접,{}
(주)신한디에스,"['왜 이직하려고 하는지, 금융권으로 오려고 하는 이유는?']","금융은 생활에서 필수이기때문에 금융업무경력을 쌓고 싶다 ""자기소개 준비해가야 합니다. 기술 질문보다는 이직동기, 경력 위주로 물어봅니다"" 합격 긍정적 도움이 돼요 2",{}
(주)신한디에스,"['술은 잘마시는가 좋아하는 영화는 뭔가 가장 고생한거 얘기해봐라', '채용방식', '인/적성검사, 그룹면접, 개인면접, 워크숍, 산행, 체육대회', '발표시기', '30일 후', '""통상적인 면접 여기까진 뭐 소소함 푸근한 아저씨같았음 그후가 문제""', '합격', '보통', '도움이 돼요 0']",,{}
(주)신한디에스,"['1. 1분 자기소개', '2. 10년 후 해당분야에서 자신의 모습', '3. 마지막으로 궁금한 점']","질문 자체가 평이했습니다. 대부분 자기소개서 및 경력기술서에 작성한 내용을 토대로 질문을 받아 무난하게 답변할 수 있었습니 다. 채용방식 인/적성검사, 개인면접 ""인적성 - 실무진 면접 - 임원 면접으로 총 3단계로 나누어 진행합니다."" 대기중 긍정적 도움이 돼요 0",{}
(주)신한디에스,"['1. 관련 직무를 아는지?', '2. 해당 직무에서 사용하는 기술 사용여부', '3. 2차면접은 이력서 보고 까기 시작함']","1. 해당 직무 아는것만 설명 2. 솔직하게 할 수 있는것과 못하는 것을 설명함. 3. 뭘해도 까일듯... 걍 참고 견디세요. 입사하면 안보는 사람들입니다. 어렵지 않았습니다. 1차 직무면접은 크기 어려운 질문 없었어요. 지원하는 직무만 공부해 가시면 될듯 해요 채용방식 그룹면접, 개인면접",{}
(주)신한디에스,['니가 자신있는게 뭐냐? 왜 지원했냐? 퇴사 이유가 뭐냐?'],뻔한 답변이 아닌 답변을 토대로 어떻게 성장하게 될 것인지 비전을 제시해야 함. 너무 전문적일 필요는 없으며 꽉막힌 태도로 일관된다면 좋지 않은 평가를 받을것. 야근 안하는 분위기이나 야근 질문이 간혹 나올 수 있으니 대비는 필요 채용방식 그룹면접,{}
(주)신한디에스,"['지원동기와', '본인의 역량을 어떻게 활용할 수 있는지', '자기소개 간단히 해보세요']",직무 중심 질문이 많았고 준비한 것들을 다 활용하지 못해 아쉬웠다 채용방식 개인면접,{}
(주)신한디에스,"['이 회사가 뭐 하는 회사인지 아는가?', '지금까지 어떤 일을 해왔는가?', '금융 지식에 대한 질문']","제 당시에는 분위기도 좋았고 쉽게 흘러갔다고 생각합니다. 원하는 답변을 잘 한거 같기도 하고 질문 난이도가 그렇게 높지 않았습니다. 다방면의 질문을 통해 현재 비어있는 TO에 적합한 사람인가를 보는 것 같았습니다. 채용방식 인/적성검사, 그룹면접, 개인면접",{}
(주)신한디에스,"['1. 이직 사유', '2. 경력 관련 질문', '3. 우리 회사에 대해 아는 것', '4. 입사 후 하고 싶은 일']",1. 돈 때문이라고 했다가 엄청 혼남 2. 경력 관련 질문은 무난하게 대답 채용방식 그룹면접,{}
(주)신한디에스,['경력이면 했던 업무로 질문이라 어렵지 않았고 압박 없었음'],"다대다 분위기가 긴장되지만 업무위주의 질문이라 괜찮음 채용방식 인/적성검사, 그룹면접",{}
(주)신한디에스,"['지원동기는 무엇인가', '무엇을 하고싶은가', '미래에는 어떤모습이 되어있을거같나']",이미 뽑힌사람은 크게 질문하지읺음...,{}
(주)신한디에스,"['이 파트를 지원하게 된 계기.', '최근 관심분야', '입사 후 5년뒤 본인의 모습']",편안하게 답변하고자 하였으나 날카로운 질문들이 있어서 당황하였음 채용방식 개인면접,{}
(주)신한디에스,"['가장 기억에 남는 프로젝트는?', '동료들과 문제가 생겼을때 해결방안은?', '다른 파트의 일을 할수 있는지?', '발표시기', '16일 후', '""1차는 실무진 면접으로 편안한 분위기에 자기소개와 경력사항 위주의 질문들""', '불합격', '보통', '도움이 돼요 0']",,{}
(주)신한디에스,"['1차', '왜 이직을 결심했는지?', '성격은 어떠한지?', '전반적으로 기술질문 보다 인성질문이 많았음.', '2차', '왜 이직을 결심했는지?']","준비한대로 답변. 어려운 질문들은 없었으며, 같이 면접을 본 다른 세분에게 질문이 더 많았음.(그 세 분이 직무가 겹쳐서) 채용방식 인/적성검사, 그룹면접",{}
(주)신한디에스,"['특별하게 어려웠던 질문은 없었어요', '그냥 자소서를 바탕으로 질문합니다']","그냥 있는 그대로 답변 헸어요 할수있는것과 해본것들 안해본것 못한다 했습니다 ""자기소개서 기준으로 경험했던것과 가지고있는 기술레벨을 물어봅니다 크게 어렵지는 않았네요"" 대기중 보통 도움이 돼요 0",{}
(주)신한디에스,"['1차면접은 이력서 위주로 경력 질문이었고 2차면접은 압박면접으로 얼마나 열심히 회사에서 일할 수', '있는지 질문입니다.', '발표시기', '30일 후', '""1차면접은 실무위주의 질문이었고. 2차면접은 임원면접으로 인성질문입니다""', '합격', '보통', '도움이 돼요 0']",,{}
(주)신한디에스,['질문은 1가지만 받았음. 내가 이제까지 한일이 무엇이고 내가 하고 있는일인 무엇인지'],면접은 그리 어렵지 않고 예상답변을 물어봐서 별 기업이 없음 채용방식 그룹면접,{}
(주)신한디에스,['임원면접 자기자랑해봐라. 근속이 왜짧냐. 다른업무줘도 할수있나 등을 물어봄 면접내내 기분나쁨'],"임원면접은 매우 기분이 나쁘게 나올수있다. 반말에 사람을 무시한다 채용방식 인/적성검사, 개인면접",{}
(주)신한디에스,"['어떤걸 잘하는지? 상급자와 갈등이 있을때 어떻게 대처할지?', '채용방식', '개인면접', '발표시기', '15일 후', '""1차 실무자 2차 임원면접인데 난이도는 어렵지 않았습니다.""', '합격', '보통', '도움이 돼요 0']",,{}
(주)신한디에스,"['죽전 출근 가능한가 야간 주말 잔업 가능한가 장애시 바로 출근', '채용방식', '개인면접', '발표시기', '30일 후', '""군대 분위기 딱딱함 신한그룹 it회사 그이상 이하도 아닌 느낌""', '합격', '보통', '도움이 돼요 0']",,{}
(주)신한디에스,"['실무 : 해온 일들, 어떤 기술을 할줄 아는지 어디에 관심있는지 편안하게 물어봄', '임원 : 말을 자르고 압박을 준다. 이유를 모르겠음']","실무 : 자소서에 적은대로 편안하게 이야기했으며 굉장히 좋은분위기였다 ""실무->임원 식 실무는 매우 편안한 분위기에서 진행되었음"" 합격 부정적 도움이 돼요 0",{}
(주)신한디에스,"['1차 면접 시 기술 면접을 보았으나 딱히 질문은 없었습니다. 2차면접에서도 별로 질문이 없었습니다.', '기본적인 자기소개 + 마지막 할말 정도.']",질문이 없어 답변한게 없네요. 자기소개와 마지막 할말 등을 준비해서 갔습니다 합격 긍정적 도움이 돼요 3,{}
(주)신한디에스,"['자기소개', '스프링의 장점은 뭐가있을까요? 사용경험을 토대로 말해주세요', '프로젝트 사용기술, 고객응대 경험 등에 대한 질문', '채용방식', '인/적성검사, 개인면접', '발표시기', '7일 후', '""어려웠던 질문은 없었음 프로젝트 경험 위주의 무난한 면접""', '불합격', '보통', '도움이 돼요 0']",,{}
(주)신한디에스,"['대면 면접 좀 까는 분위기 잘하면 안까기도 합니다.', '""딱하 기술적인 질문은 없습니다. 기술면접 경영진 면접 있는데 기술은 기본만 경영', '진면접은 좀 까는 분위기 일수있는데 거기서 기죽지말고 대꾸하시면 됩니다.""', '합격', '보통', '도움이 돼요 1']",,{}
(주)신한디에스,"['이회사에 지원한이유', '이직사유', '입사후 회사를 위해 무엇을 할건지']",압박면접 없고 편안한 분위기에서 진행됨,{}
(주)신한디에스,"['자기소개와 이직 동기를 기본적으로 질문했고,', '자기개발이 미흡한 부분에 대해서 물어봤습니다.', '그리고 어떤 업무를 하는지 알고있냐는 질문과 목표를 묻는 질문이 있었습니다.']","제가 해왔던 경험을 토대로 자기소개를 했고, 디지털금융분야 발전에 따라서 다양한 경험을 하며 회사 와 함께 성장하고 싶다고 했습니다. 자기개발이 미흡한 부분에대해서는 솔직하게 과다업무에 따라 체력적으로 힘들었다고했고, 업무는 파 견업무를 통해 고객사운영대행을 하는 업무라고 했습니다. 목표는 보안전문가! 2차면접에서는 경력개발에 대해서 역시 질문이 나왔고, 결혼했냐는 희안한 질문도 있었습니다. 경력에 대해 간 비꼬는 면접관님도 계셨습니다.",{}
(주)신한디에스,['지원한 이유는? 지원한 분야 잘 할 수 있냐? 혼자 일 다 할 수 있겠냐?'],그룹사 파견으로 인력장사하는 회사답게 본사 관리자의 실무 지식이 낮아 업무적으로 깊이 있는 질문 이 없고 파견나간 회사에서 아무도 케어해주지 않고 혼자 해야 하니 너가 할 수 있겠냐는 의지를 물어보 는 식이었음. 채용방식 그룹면접,{}
(주)신한디에스,"['왜 이직 하려고 하냐', '왜 이직 하려고 하냐', '왜 이직 하려고 하냐']",이직사유 얘기 해도 말끊어버리고 면접관이 원하는 답 제시안하면 귀닫고 보지도 않음. 왠지 애초부터 탈락시키려고 들러리로 세운느낌. 오랜만에 기분나쁜 면접이었음. 채용방식 케이스 면접,{}
(주)신한디에스,"['부서는 지금까지 한 일 할수있는거 등 물어봤고 임원면접은 왜 지원했는지 물어보네요. 상당히 직설적', '으로 물어보는데 임원들의 심기를 크게 건드리지 않는다면 통과입니다']","지금까지 한 일 설명, 제원 이유를 물어보네요. 무난하게 대답하면 통과입니다 채용방식 그룹면접, 개인면접",{}
(주)신한디에스,"['1. 지금까지 해왔던 기술에 대한 질문', '2. 1번 사항에 대해서 상세 기술 질문']",1. 기술에 대한 설명에 대해서 얘기함 2. 구체적으로 프레임워크에 대해 추가 설명,{}
(주)신한디에스,"['타 포지션의 경험이 있는지 묻는다. 타 포지션으로도 투입이 가능한지 묻는다. 본인이 프론트인지 백인', '지를 줄서달라고 묻는다.']","원하는 해당 포지션에 대해 전문지식을 가지고 있는 사람이 없다. ""일반적이게 서류면접, 1차면접(업무관련), 2차면접(경영자) 으로 이루어지며 다소 결과 발표가 늦지만 어기없이 연봉을 이전회사보다 낮은 연봉으로 권고함."" 합격 부정적 도움이 돼요 0",{}
(주)신한디에스,"['1차의 경우 업무에 대해 아는지 체크하는 것이 대부분이고 2차의 경우 이런 상황에는 어떻게 하겠느냐', '같은 질문이 많음']",기술적인 부분은 아는대로 이야기하고 상황질문에 대해서는 소신있게 답변함 채용방식 개인면접,{}
(주)신한디에스,['평이한 질문들입니다. 앞으로 무얼 하고 싶은지 운영업무의 어떤 점을 보고 입사를 원하는지 등등'],열정 있다고 말함 채용방식 개인면접,{}
(주)신한디에스,"['사람들 5명이 앉아있고, 비슷한 질문을 서로 경쟁하듯 대답하는 분위기 질문내용의 난이도는 그다지 있', '지않았습니다']",위내용과 동일 채용방식 그룹면접,{}
(주)신한디에스,"['가장 잘하는 언어, 그동안 했던 프로젝트 위주로 물어봅니다.']","잘했던 언어, 했던 프로젝트 그대로 답변 채용방식 필기시험, 인/적성검사, 케이스 면접, PT면접",{}
(주)신한디에스,"['이전 직장에서 무슨일을 하였는지?', '어떤 부분에 강점이 있는지']",근무이력에 대해 있는그대로 설명하고 솔직하게 인터뷰 하였음 채용방식 개인면접,{}
(주)신한디에스,"['대학생활, 프로젝트 경험에 대해서 구체적으로, 현재 업무를 맡게되면 어느 업무를 하고싶은지']",대학생활 했던점에 대해서 이력서 기반으로 얘기했습니다. 제가 프로젝트 했던 경험과 장단점을 설명 했습니다. 유지보수 업무담당자를 뽑는 거였는데 어떤 업무든 상관없다고 답했습니다. 채용방식 개인면접,{}
(주)신한디에스,['자기소개서 위주의 질문으로 시작해서 답변의 내용을 토대로 꼬리물기식 질문이 이어진다.'],"자기소개서를 잘 숙지하고 있어서 꼬리물기에 약간 당황 하였지만 두리뭉실하게 대답하지 않아서 잘 넘길 수 있었다 ""다대다 면접으로 여러 면접관이 질문하는 형태로 약간 긴장된 분위기에서 진행 되 었다."" 합격 긍정적 도움이 돼요 0",{}
(주)신한디에스,['경력직 면접으로 자신이 했던 이력서에 기술된 프로젝트에 대해서 주로 질문함.'],자신이 진행한 프로젝트를 설명함. 그리고 입사 후 포부에 대해서 답변함. 채용방식 그룹면접,{}
(주)신한디에스,"['다대다 면접이며 실무와 자기소개서 위주로 많이 물어보며 현재 어떤파트에서 어떤부분을 해왔는지 물', '어봄']","자기소개서 및 현재 맡은 업믄 채용방식 케이스 면접, 그룹면접 ""채용공고 경력직으로 서류전형 통과후 면접을 보게됨 다대다 면접입니다"" 불합격 부정적 도움이 돼요 0",{}
(주)신한디에스,['입사후포부에 대해서 말해보세요. 자신의 강점을 말해보세요'],"금융 아이티 전문가가 되고 싶다.어떤일이든 안정적인 시스텡을 운영 할수있다. 사장이 되고싶다 채용방식 필기시험, 토론면접",{}
(주)신한디에스,"['자기소개 장단점 이전 회사 퇴사이유 기본적인걸 물어본다 it개발직군인데 전문성 관련해서 질문을 안', '함', '채용방식', '개인면접', '발표시기', '30일 후', '""기본적인 면접 (질문 이직 사유 자기 소개 등등)과 이전 경력중에 금융 관련 개발이', '없냐고 질문', '대부분 평이하고 어려운 질문은 없었음""', '합격', '보통', '도움이 돼요 0']",,{}
(주)신한디에스,['지금 지원하신 부서에 입사 시 부서원들과 어떤 시너지를 낼 수 있는가 ?'],"노코멘트 채용방식 인/적성검사, 그룹면접",{}
(주)신한디에스,"['본인이 생각하는 금융it란 무엇인지', '본인의 장단점은 무엇인가', '지원동기']",금융의 최전선에서 일을 할수있는 직무 채용방식 그룹면접,{}
(주)신한디에스,['토론을 하고 각각 개인마다 질문받음. 했던 프로젝트에 대해서 집중적으로 질문함'],"내가 했던 프로젝트를 설명하였음 생각보다 구체적으로 질문함 채용방식 인/적성검사, 스킬테스트, 그룹면접, 토론면접",{}
(주)신한디에스,"['해커가 되고싶었던 사람있었냐', '가장좋았던경험']","손들지않았음. 외국경험 채용방식 인/적성검사, 토론면접",{}
(주)신한디에스,"['이 회사에 지원한 이유', '전 회사에서 이직을 하려는 이유', '발표시기', '16일 후', '""그리 딱딱하지 않은 분위기에서 참여했던 프로젝트 기준으로 질문""', '합격', '보통', '도움이 돼요 0']",,{}
(주)신한디에스,"['자기 소개, 지원 동기, 입사 후 하고 싶은 일, 지금까지 해본 프로젝트, 자신의 장단점 등..']","개인적으로 준비해 간 답변을 하였습니다. 채용방식 필기시험, 인/적성검사, 케이스 면접, 그룹면접, 토론면접 ""천안연수원으로 이동하여 오전에는 인적성을 풀고 점심을 먹은 후 오후에는 다대 다 면접 순으로 진행되었습니다. 인적성 시험이 매우 어려웠습니다. 면접은 두 명의 면접관과 네 다섯 명의 면접자로 면접이 진행되었습니다. 토론 면접 과 실무 면접으로 나누어져 진행되었으며 분위기는 편안하였습니다. 토론 면접은 면접관님께서 주제를 알려 주신 뒤, 자신의 의견을 정리할 수 있는 시간 을 주십니다. 이 후 찬 반으로 나누어 의견을 교환합니다. 블라인드 채용이기 때문에 면접관들은 면접자들이 면접 전에 본 코딩 테스트 내용 물만을 가지고 계십니다."" 불합격 보통 도움이 돼요 1",{}
(주)신한디에스,"['신한그룹사를 담당, 은행의 경우 글로벌 사업 투자 지원하며, 은행을 지원하게 된다면 글로벌 사업에 참', '여할 수 있는 기회를 얻을수있고', '금융권의 경우 최신기술이 적용된 만큼 많은 것을 보고 경험하며, 기술 역량 키우는 부분을 이야기했고,', '많은 것을 해볼수 있다는 부분에 대해서 이야기했었습니다', '채용방식', '필기시험, 개인면접', '발표시기', '30일 후', '""무슨일을 하는 회사로 알고 왔는지, 회사가 나아가야 할 방향에 대해서 알고 있는', '지, 어떻게 기여해갈것인지에 대한 질문입니다""', '합격', '보통', '도움이 돼요 2']",,{}
(주)신한디에스,['야근이 많은데 괜찮나? 스트레스에 대해 어떻게 해소하나??'],"네 채용방식 인/적성검사, 케이스 면접, 개인면접",{}
(주)신한디에스,"['1차면접은 면접자간 토론과 개인질문으로 나뉘어지는데 최근 IT 이슈에 대해 토론하게 하며 토론에 임', '하는 태도를 주로 평가하는 듯함. 개인질문은 개발 경험과 지식 위주이며 인턴 경험 등이 있다면 집중적', '으로 물어봄.', '2차면접에서는 지원 동기 등 인성 관련임.']","토론 시에는 적극적으로 질문과 답변을 하며 최대한 많이 발언할 수 있도록 노력하였음. 기타 질문에 대해서는 모르는 것은 모른다고 하고 솔직하게 답변하였음. 채용방식 인/적성검사, 스킬테스트, 토론면접, 개인면접, 워크숍",{}
(주)신한디에스,"['자기가 평소에 관심있는 신기술 및 프로젝트 경험 어필, 왜 지원했는지 등 등']","있는 사실 그대로 말씀드렸으며, 최종면접은 압박면접 비슷하게 진행 ""필기 인적성/토론 임원면접으로 3회로 진행되었습니다~~"" 합격 보통 도움이 돼요 1",{}
(주)신한디에스,['질문이 어려운건없었고 경험에 대하여 많이 물어봤었습니다'],경력과 경험들 토대로 대답하엿음 채용방식 개인면접,{}
(주)신한디에스,['경력기술서 내용에 대한 질문이 대부분임'],경력기술서에 있는 그대로 경험을 얘기함. 채용방식 그룹면접,{}
(주)신한디에스,"['1. 자신 있는 개발 언어', '2. 커리어가 금융과 맞지 않은데?']","1. java 2. 기반 기술을 잘 배웠고 금융에서도 잘 쓸 자신이 있다. 채용방식 인/적성검사, 스킬테스트, 그룹면접, 토론면접, 워크숍, 산행, 체육대회",{}
(주)신한디에스,"['1차 토론 면접은 안아키 주제였고 2차 임원 면접은 1분 자기소개하고 돌아가면서 술은 잘먹냐, 야근할', '수 있냐, 한달째 집 못들어갈때도 있는데 할 수 있냐.. 뭐 이런식']","1차 토론에는 찬성, 거절 정해서 자유롭게 말함 채용방식 인/적성검사, 토론면접",{}
(주)신한디에스,['주로 입사 후 포부에 대해 질문을 함. 자소서에 적은 특이사항중 하나를 중점적으로 질문함'],"제의 받은 업무외에도 여러가지 할 수있다는 포부를 답변함 ""이직제의를 받고 1 차 면접을 봄. 이직제의라 편안한 분위기에서 봄"" 대기중 긍정적 도움이 돼요 0",{}
(주)신한디에스,"['면접관들도 이런 면접이 처음이라 뭘 질문해야될지 모른다고 했음', '기술면접보다는 인성면접 비슷했던거 같음. 기술 질문은 없었음', '꿈이 뭐냐', '상사와 트러블을 어떻게 해결할거냐 등등', '옆팀은 기술에 관해서 물어보는듯 했음.']","평소 생각을 말했음 채용방식 인/적성검사, 스킬테스트, 그룹면접, 토론면접",{}
(주)신한디에스,"['자기소개', '기억에 남는 프로잭트', '가고 샆은 부서', '그냥 엄청 질문 많았음 거의 두시간반 동안 하기땜에 이것저것 많이 물어봄']","그먕 열심히 대답하고 모르는건 모른다고 했음 채용방식 인/적성검사, 그룹면접, 토론면접",{}
(주)신한디에스,"['전직장에서 하던 업무 및 포지션 질문', '이직이유', '어떤 업무를 가장 잘 수행할 수 있는지 질문']",파견직이라 여러 업무를 경험했으며 개발자였음 어느 업무든 새로 배우는게 재밌다 채용방식 그룹면접,{}
(주)신한디에스,['ㅇㅇ지역에서 일하면 어떨꺼 같냐?(내가 사는지역이 다른직무 근무지여서 물어본 거 같음)'],"집에서 가까운데면 당연히 좋다고 말함. (면접 당시는 그곳이 다른 직무 근무지인줄 몰랐음) 채용방식 인/적성검사, 그룹면접, 개인면접",{}
