question,extracted_terms
"1차 면접에서 리눅스 명령어, 자바의 접근 제어자 등 간단한 개발 관련 질문을 하셨음. 그 외 mbti, 취미 등 개발과 관련 없는 것도 질문 받음. 2차 면접은 보통 면접에서 물어볼 질문들 위주로 물어봄. 예를 들어 동료와 갈등이 생겼을 때 어떻게 풀 어나갈 것인지. 본인의 강점. 성공 사례 등을 물어봄",리눅스
기술적인 질문 1. 리눅스 명령어에 대한 기본 지식 2. 실무 경험담 3. 서버 관리 능력,리눅스
면접전 필기시험이 있습니다. 1. 리눅스 명령어 2. 전직장퇴사 사유 3. 보안관제란 무엇인가?,리눅스
아키텍트란 무엇이라 생각하는지? MSA란 무엇인지? 그리고 개인 프로젝트중 리눅스를 다룬 경험이 있는 지 등 전반적인 인프라 관련 지식들과 개인프로젝트들 진위여부를 질문하셨습니다.,리눅스
레이드에 대해서 많이 물어봄. 네트워크나 기본 리눅스 지식도 물어보고 면접 준비를 좀 해야함,리눅스
"기술 면접때는 전반전인 리눅스, 네트워크, 하드웨어 관련 질문을 하였습니다.",리눅스
"리눅스에서 반복적인 일을 특정 시간에 수행하도록 하려면 어떻게 해야하는가 채용방식 그룹면접 발표시기 5일 후 ""리눅스에 관한 기본적인 질문과 포토폴리오로 제출한 프로젝트 위주로 질문을 함. 정장입고 갔다가 자율복장 안내 못 받았냐는 질문을 받음"" 합격 보통 도움이 돼요 1",리눅스
리눅스와 윈도우의 장단점 2가지 씩 말하고 최종 목표,리눅스
기술면접:네트워크에 기본적인이해와 리눅스에대한 질문 인성면접도 인터넷에 나오는 면접 질문을이 주로 나왓음,리눅스
1.반대로 면접관이 되면 어떤걸 보고 뽑을 것인지 2.리눅스 디스크 마운트를 할때 <<요건 잘 기억이 나지 않음,리눅스
1. 자기소개 2. 지원동기 3. 지원한 분야가 무슨 분야인지 아는지? 4. 리눅스 관리 내용질문,리눅스
1. 자기소개서에 리눅스 능력을 중으로 표기하셔서 질문드리는데 리눅스 심볼릭 링크 명령어를 말해보 세요. 2. 고객이 계약사항에 포함되지 않는 기능을 요구할 때 어떻게 대처할 것인지 말해보세요. 3. 자사 비전공자들의 퇴사율이 높은데 이유가 뭐라고 생각하시나요? (본인에게 주어진 질문은 아님),리눅스
구글에 개발자 면접 치면 나오는 cs 질문 리눅스 명령어 면접자의 인생을 비판하는 언행,리눅스
"1. 서버 이중화와 고가용성, Load Balancing 에 대해 아는대로 말해보라. 2. Spring Framework 에서 annotation이 어떤 역할을 한다 생각하는가? DI란 무엇이고 Spring Framework에서 DI를 함으로써 어떤 장점을 얻을 수 있는가? 3. 기본적인 리눅스 명령어 질문 3-1) su, su - 차이점 3-2) chmod 3-3) tar 명령어 및 쉘 프로그래밍 기초 지식 3-4) curl에 대한 질문 몇가지 4. Rest Api & MSA에 대한 질문 4-1) Rest Api 에 대해 아는대로 말해보라 4-2) Rest Api를 이용하여 서로 다른 기관 혹은 서버끼리 통신할때 어떤식으로 보안을 유지할 수 있을 지 설명하라 - 잘 모르지만 ssl인증서의 serial number, 각 기관끼리의 사전에 정의된 인증방식(토큰 등)을 통해 보 안을 유지할 수 있을거라 대답 4-3) 4-2에서 ssl 인증서를 언급하였는데 SSL 인증의 원리를 알고 있는가? 5. 기본적인 쿼리 질문 5-1) 계층쿼리(connect by) 5-2) Pivot 5-3) Rank(), RowNumber() over Partiton by ~ 6. 코딩 테스트(손코딩) 6-1) 자바 스크립트 promise함수 빈칸 완성 6-2) 기초적인 jquery 문제 - 체크박스 제어, 클릭이벤트등 html보고 코딩하면 됨 6-3) 쿼리코딩 (Cube 함수): 이거 못품 ㅡㅡ;;",리눅스
"0] 자기소개 1] 팀프로젝트 수행경험, 어떤 role을 했는지, 뭐가 힘들었는지 등등 무난한 질문 2] mvc 패텬, 자료구조, 정렬 기초 등등 전공 관련 무난한 것 질문 3] 리눅스 접해봤는지, 접해봤으면 컴파일 경험 있는지 등등",리눅스
"자기소개, mysql과 oracle 차이점, 리눅스 가능여부 물어봄. 다른 지원자에게는 싱글톤 패턴에 대해 물 어봤던걸로 기억함.",리눅스
"자기소개, 장단점, php, 리눅스 할 줄 아는지..?",리눅스
"인성면접으로 어려움겪은점, 관심사 등 일반적인 질문 하셨습니다. 직무면접으로 리눅스의 전반적인 지식과 보안, 프로그래밍 관심사등을 물어보셨습니다. 직무의 전반적인 지식과 전공 지식을 기본적으로 완벽하게 알아야합니다.",리눅스
1. 하나의 API로 많은 이들이 접속을 하여 프로세스가 많이 쌓였을때 생기는 과부하를 어떻게 해결하 는게 좋겠는가 2. 새로운 기술공부는 어떻게 찾고 어떻게 하느냐 3. 리눅스상에 모듈을 설치할때 어떠한 방식으로 하느냐 4. 테스트는 어떻게 하냐,리눅스
인턴과제가 구체적으로 어떤 과제인지 리눅스 사용경험은 어떠했는지 경험에 대해 배운점에 대한 질문 이었습니다.,리눅스
1. IT 분야로 전향한 이유 2. 리눅스를 공부한 이유와 장점 3. DevOps란?,리눅스
"데이터베이스. 안드로이드 등 몇가지 키워드 중 하나를 비 컴공인에게 설명해보시오. 브라우저에 url치면 무슨일이 일어나는가? 게시판 서버 1대 운영중 트래픽이 과도하게 발생되어 서버가 죽는다 해결 방안은? 클린 코드란? 리눅스에서 권한 변경 명령어? 옵션도 설명 다른 명령어 아는거 잇는가? 채용방식 스킬테스트 ""기술과제 수행 약 3시간 코드리뷰 약 1시간 기술면접 약 1시간"" 대기중 긍정적 (주)피매치 백엔드 엔지니어 (채용전환형 인턴) 경력무관, python, SQL, azure, PostgreSQL, rest api, 시… 합격보상 100만원  (주)액션파워 Back-end Engineer (경력 5년 이상) 4 ~ 15년, node.js, Docker, Kubernetes, firebase 합격보상 200만원  (주)박차컴 JAVA 개 5년 이상, j 합 액 3000억원 이상 (주)우아한청년들 포지션 0개 채용 중 2 코이즈(주) 8 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  신고하기 도움이 돼요 3",리눅스
"자기소개 오픈소스 활용능력이 강점이라 했는데 어떤 오픈소스를 활용했는지? AWS 얼마나 사용해봤는지? 데이터베이스는 어떤거 활용했는지?(RDBMS, MySQL) 내가 맡은 역할 그 이상을 했던 활동? 자바는 사용할줄 모르는건지? 인턴에서 했던 테스팅 시나리오를 따로 작성하고 실행한건지? 지도교수님이 나의 장단점을 뭐라고 말하실것같은지? 제일 관심있는 기술? 리눅스마스터 왜 공부하게 되었는지? 채용방식 스킬테스트, 그룹면접, 기타 발표시기 16일 후 ""코딩테스트 면접, 직무면접, 임원면접 봤습니다 코딩테스트는 엄청 쉬운대신 코드리뷰가 중요한 느낌이었어요."" 합격 보통 도움이 돼요 1",리눅스
리눅스 명령어 아는거 다 말해봐라 기본 적인 알고리즘 질문 손코딩해봐라 java or c,리눅스
"[신입 개발자 1차 실무진 면접] 0. 자기소개 1. 프로그래밍 공부 초기 때 어려웠던 C언어 문제 2. 전과한 이유 3. C언어의 사용기간이 가장 긴데, 코딩테스트를 파이썬으로 본 이유 4. 가장 최근에 C언어로 만들어본 것 5. 웹 프로그래밍을 해본 적이 있는지 6. 네트워크 프로그래밍(소켓통신)을 해본 적이 있는지 7. 리눅스를 써서 개발해본 적 있는지 8. 모바일 앱(안드로이드나 iOS)을 만들어본 적이 있는지 9. 파이썬으로 인공지능이나 머신러닝 같은 걸 쓰거나 만들어본 작품이 있는지 10. C, Python으로 만들어본 대표 작품 하나씩 얘기해주세요 11. 교내대회 수상이력이 있는데, 어떤 대회인지 설명(대회 이름이 좀 길어서 질문하신 것 같다) 12. 프로젝트들을 진행하면서 가장 어려웠던 부분과, 어떻게 해결했는지 13. SW개발 위주로 공부한 만큼, 보안/네트워크 쪽 지식이 부족할 것 같은데 그로 인해 업무에 어려움 이 생긴다면 어떻게 할것인지 13-1. (기초지식 검증?? 질문이라고 생각됩니당) 네트워크나 보안 관련해서 알고 있는 지식 아무거나 말씀해주세요 14. 입사하게 된다면 어떤 일을 하고싶은지 15. 윈스 제품에 대한 자세한 스펙?특징?들을 알고있는지? 16. 향후 5년, 10년 뒤에 개발자로써 어떤 개발을 하고 싶은지(회사에서의 모습이 아니라 내가 개인적 으로 어떤 분야의 개발을 꿈꾸고 있는지 여쭤보신 것) 17. 그 외 포트폴리오(대학교에서 한 프로젝트들) 작품에 대한 질문들",리눅스
"보안업무에 필요한 내역 리눅스 기초지식 TCP/IP 내역 등 기초지식 엄청 물어봅니다 발표시기 30일 후 ""압박면접 입니다. 파이팅 하십시오 저는 힘들었어요 3명 들어옵니다. 자신이 얼마나 하찮은 존재인지 깨닫게 해줍니다. ㅎㅎ"" 합격 긍정적 도움이 돼요 0",리눅스
보안에 가장 중요한게 무엇이라 상각하나? 어떤 업무 하고싶나? 리눅스 명령어?,리눅스
프로젝트 뭐했어요? 리눅스나 SQL써보셨어요? 지원한 분야말고 다른 직군에 배정되도 잘할수있나요?,리눅스
